index,paras,rt_name,sl_name,fe_name,method,mean_validation_score
3,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,PCA2,Ridge,-312.73718348452843
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,PCA2,Ridge,-312.7929502301862
5,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,PCA2,Ridge,-312.85660456019923
0,{'fit_intercept': True},L1Norm,MinMax,PCA3,LM,-58.41319904821682
1,{'fit_intercept': False},L1Norm,MinMax,PCA3,LM,-320.0560225519738
0,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,MinMax,PCA3,Ridge,-58.095553704276206
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,MinMax,PCA3,Ridge,-58.09881294089773
2,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,MinMax,PCA3,Ridge,-61.54254262284717
3,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,MinMax,PCA3,Ridge,-315.73083618981025
4,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,MinMax,PCA3,Ridge,-318.8900163053116
5,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,MinMax,PCA3,Ridge,-318.90112102278067
0,{'fit_intercept': True},L1Norm,ZScore,Identity,LM,-58.43982759666092
1,{'fit_intercept': False},L1Norm,ZScore,Identity,LM,-320.0119384765625
0,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,ZScore,Identity,Ridge,-58.400877921468606
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,ZScore,Identity,Ridge,-58.4733229939084
2,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,ZScore,Identity,Ridge,-58.473479392524105
3,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,ZScore,Identity,Ridge,-318.09408104676504
4,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,ZScore,Identity,Ridge,-318.3348337969162
5,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,ZScore,Identity,Ridge,-318.33493472708784
0,{'fit_intercept': True},L1Norm,ZScore,BestK1,LM,-141.08650115908503
1,{'fit_intercept': False},L1Norm,ZScore,BestK1,LM,-313.30710639130524
0,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,ZScore,BestK1,Ridge,-141.03135459233343
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,ZScore,BestK1,Ridge,-141.04583869485145
2,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,ZScore,BestK1,Ridge,-141.04588506073685
3,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,ZScore,BestK1,Ridge,-313.0144680588591
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,ZScore,BestK1,Ridge,-313.02463554723545
5,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,ZScore,BestK1,Ridge,-313.0246679251422
0,{'fit_intercept': True},L1Norm,ZScore,BestK3,LM,-113.65206881733184
1,{'fit_intercept': False},L1Norm,ZScore,BestK3,LM,-315.07042537019106
0,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,ZScore,BestK3,Ridge,-113.14454079410527
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,ZScore,BestK3,Ridge,-113.15763717570954
2,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,ZScore,BestK3,Ridge,-113.15780751158265
3,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,ZScore,BestK3,Ridge,-314.8893702881271
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,ZScore,BestK3,Ridge,-314.9283419035033
5,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,ZScore,BestK3,Ridge,-314.9284432402473
0,{'fit_intercept': True},L1Norm,ZScore,BestK2,LM,-123.84699112740013
1,{'fit_intercept': False},L1Norm,ZScore,BestK2,LM,-312.8383968011992
0,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,ZScore,BestK2,Ridge,-123.78042312893513
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,ZScore,BestK2,Ridge,-123.79118653533634
2,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,ZScore,BestK2,Ridge,-123.79120150054253
3,"{'alpha': 1e-05, 'fit_intercept': False}",L1Norm,ZScore,BestK2,Ridge,-312.7019731553453
4,"{'alpha': 0.0031622776601683794, 'fit_intercept': False}",L1Norm,ZScore,BestK2,Ridge,-312.7019831844921
5,"{'alpha': 1.0, 'fit_intercept': False}",L1Norm,ZScore,BestK2,Ridge,-312.70522024772447
0,{'fit_intercept': True},L1Norm,ZScore,PCA1,LM,-182.1499452812956
1,{'fit_intercept': False},L1Norm,ZScore,PCA1,LM,-322.0735259957181
0,"{'alpha': 1e-05, 'fit_intercept': True}",L1Norm,ZScore,PCA1,Ridge,-182.1499452819281
1,"{'alpha': 0.0031622776601683794, 'fit_intercept': True}",L1Norm,ZScore,PCA1,Ridge,-182.14994548131207
2,"{'alpha': 1.0, 'fit_intercept': True}",L1Norm,ZScore,PCA1,Ridge,-182.15000853181465
