index,paras,windows,sl_name,fe_name,method,mean_validation_score
2,{'max_depth': 11},0,Identity,BestK1,DT,0.9896806853582555
3,{'max_depth': 3},0,Identity,BestK1,DT,0.9884475597092419
4,{'max_depth': 1},0,Identity,BestK1,DT,0.9881230529595015
5,{'max_depth': 5},0,Identity,BestK1,DT,0.9879932502596054
0,{'n_neighbors': 8},0,Identity,BestK3,KNN,0.9888369678089304
1,{'n_neighbors': 20},0,Identity,BestK3,KNN,0.9886422637590861
2,{'n_neighbors': 14},0,Identity,BestK3,KNN,0.98851246105919
3,{'n_neighbors': 26},0,Identity,BestK3,KNN,0.98851246105919
4,{'n_neighbors': 2},0,Identity,BestK3,KNN,0.9840991692627207
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,BestK3,NB,0.9569055036344756
1,"{'priors': [0.5, 0.5]}",0,Identity,BestK3,NB,0.9526220145379024
0,{'alpha': 1e-05},0,Identity,BestK3,Perceptron,0.9633956386292835
1,{'alpha': 0.00017782794100389227},0,Identity,BestK3,Perceptron,0.742536344755971
2,{'alpha': 0.0031622776601683794},0,Identity,BestK3,Perceptron,0.7176791277258567
3,{'alpha': 1.0},0,Identity,BestK3,Perceptron,0.6715342679127726
4,{'alpha': 0.05623413251903491},0,Identity,BestK3,Perceptron,0.6715342679127726
0,{'max_depth': 9},0,Identity,BestK3,DT,0.990978712357217
1,{'max_depth': 11},0,Identity,BestK3,DT,0.9907191069574247
2,{'max_depth': 7},0,Identity,BestK3,DT,0.9903946002076843
3,{'max_depth': 5},0,Identity,BestK3,DT,0.9891614745586709
4,{'max_depth': 3},0,Identity,BestK3,DT,0.9883826583592938
5,{'max_depth': 1},0,Identity,BestK3,DT,0.9881230529595015
0,{'n_neighbors': 8},0,Identity,BestK2,KNN,0.9888369678089304
1,{'n_neighbors': 20},0,Identity,BestK2,KNN,0.9886422637590861
2,{'n_neighbors': 14},0,Identity,BestK2,KNN,0.98851246105919
3,{'n_neighbors': 26},0,Identity,BestK2,KNN,0.98851246105919
4,{'n_neighbors': 2},0,Identity,BestK2,KNN,0.9840991692627207
0,"{'priors': array([0.78589045, 0.21410955])}",0,Identity,BestK2,NB,0.9569055036344756
1,"{'priors': [0.5, 0.5]}",0,Identity,BestK2,NB,0.9526220145379024
0,{'alpha': 1e-05},0,Identity,BestK2,Perceptron,0.9633956386292835
1,{'alpha': 0.00017782794100389227},0,Identity,BestK2,Perceptron,0.742536344755971
2,{'alpha': 0.0031622776601683794},0,Identity,BestK2,Perceptron,0.7176791277258567
3,{'alpha': 1.0},0,Identity,BestK2,Perceptron,0.6715342679127726
4,{'alpha': 0.05623413251903491},0,Identity,BestK2,Perceptron,0.6715342679127726
0,{'max_depth': 11},0,Identity,BestK2,DT,0.990978712357217
1,{'max_depth': 9},0,Identity,BestK2,DT,0.9908489096573209
2,{'max_depth': 7},0,Identity,BestK2,DT,0.9903296988577363
3,{'max_depth': 5},0,Identity,BestK2,DT,0.989291277258567
4,{'max_depth': 3},0,Identity,BestK2,DT,0.9884475597092419
5,{'max_depth': 1},0,Identity,BestK2,DT,0.9881230529595015
